Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:52:22,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:22,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:23,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:23,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:23,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:23,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:52:24,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:24,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:25,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:25,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:25,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:25,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:26,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:26,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:27,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:27,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:27,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:27,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:28,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:28,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:29,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:29,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:29,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:29,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:30,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:30,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:31,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:31,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:31,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:31,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:32,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:32,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:33,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:33,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:33,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:33,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:34,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:34,30.50,96.7,,not detected,not detected,flame detected,0.0,0.0,
09:52:35,30.50,96.7,0.38,not detected,not detected,flame detected,0.0,0.0,
09:52:35,30.50,96.7,0.38,not detected,not detected,flame detected,0.0,0.0,
09:52:35,30.50,96.7,0.38,not detected,not detected,flame detected,0.0,0.0,
09:52:35,30.50,96.7,0.38,not detected,not detected,flame detected,0.0,0.0,
09:52:37,30.50,96.7,1.35,not detected,not detected,flame detected,0.0,0.0,
09:52:37,30.50,96.7,1.37,not detected,not detected,flame detected,0.0,0.0,
09:52:37,30.50,96.7,1.37,not detected,not detected,flame detected,0.0,0.0,
09:52:37,30.50,96.7,1.20,not detected,not detected,flame detected,0.0,0.0,
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:20,0,0,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:22,30.50,96.9,,not detected,not detected,flame detected,0.0,0.0,
09:53:26,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:26,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:26,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:27,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:27,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:27,30.50,96.8,0.38,not detected,not detected,flame detected,0.0,0.0,
09:53:31,30.50,96.8,1.67,not detected,not detected,flame detected,0.0,0.0,
09:53:31,30.50,96.8,0.99,not detected,not detected,flame detected,0.0,0.0,
09:53:31,30.50,96.8,0.83,not detected,not detected,flame detected,0.0,0.0,
09:53:31,30.50,96.8,1.34,not detected,not detected,flame detected,0.0,0.0,
